oitama,result,answer,fScore,bleuscore,option_result,opt_Arr_max,maxtimesIndex
あいづ、何しったなや,あれ、何しったや,あの人、何をしているの,0.2857142857142857,0.14154751160645063,あれ、何しったや,0.2857142857142857,14
あいづ、取ってけろ,あれ、取ってください,あれ、取ってください,1.0,1.1167470964180197,あれ、取ってください,1.0,14
あぐどいだい,かかと痛い,かかとが痛い,0.8,0.19992254095048143,かかとに痛い,1.0,17
あぐどいだぐねぇが,あぐどいたぐないか,かかとが痛くないですか,0.3333333333333333,0.133051885050407,あぐどをいたぐをないか,0.42857142857142855,15
あだまかなりやめる,あたまかなり痛い,頭がとても痛い,0.25,0.1394721495522781,あたまかなりに痛い,0.4444444444444445,13
あだまやめでしゃーましする,頭やめで持て余しする,頭が痛くて持て余している,0.42857142857142855,0.1677888457629702,頭やめで持て余しする,0.42857142857142855,14
あだまやめる,あたま痛い,頭が痛い,0.4,0.15587075056736388,あたまが痛い,0.6666666666666666,12
あづぐねえが,あづぐないえか,暑くないですか,0.2,0.08459413487948231,あづぐないえか,0.2,14
あったけぇお茶くだい,あったけぇお茶ください,暖かいお茶をください,0.20000000000000004,0.12114911497845275,あったけぇお茶をください,0.3636363636363636,13
あどで看護師に診てもらうべ,あどで看護師に診てもらうだ,あとで看護師に診てもらいましょう,0.631578947368421,0.609365237041581,あどで看護師に診てもらうだ,0.631578947368421,14
あんじゃん,本当？,本当？,1.0,0.4358979683151974,本当？,1.0,14
おしょうしな,ありがとう,ありがとう,1.0,0.19245008972987526,ありがとう,1.0,14
いだいがらやさしぐしてけろな,痛いからやさしぐしてくださいね,痛いから優しくしてくださいね,0.375,0.1375707255482621,痛いからやさしぐしてくださいね,0.375,14
いだいがら湿布出してけんにぇが,痛いから湿布出してください,痛いから湿布を出してください,0.923076923076923,0.4674425833435653,痛いから湿布を出してください,1.0,13
いだいがら薬くだい,痛いから薬ください,痛いから、薬をください,0.8,0.22626884262438998,痛いから薬にください,0.9090909090909091,15
いだいがら薬もらいだい,痛いから薬もらいたい,痛いから薬をもらいたい,0.9090909090909091,0.41010744832592433,痛いから薬をもらいたい,1.0,15
いだいがら薬もらわれっか,痛いから薬もらえますか,痛いから薬をもらえますか,0.923076923076923,0.4674425833435653,痛いから薬にもらえますか,1.0,14
