置賜弁テスト,1,1,-32768,見出し結果表示,品詞1,品詞2,品詞3,品詞4,品詞9(活用形),品詞10(活用形),ヨミ,正規化表記,*,*,*,*,*
あがな,5156,5156,-32768,あがな,形状詞,,,,,方言,アガナ,あんな,*,*,*,*,*
あげな,5156,5156,-32768,あげな,形状詞,,,,,方言,アゲナ,あんな,*,*,*,*,*
うだで,5156,5156,-32768,うだで,形状詞,助動詞,,,,方言,ウダデ,不快な,*,*,*,*,*
えらい,5156,5156,-32768,えらい,形状詞,助動詞,,,,方言,エライ,立派な,*,*,*,*,*
がめつい,5156,5156,-32768,がめつい,形状詞,,,,,方言,ガメツイ,ケチな,*,*,*,*,*
ぎっつえ,5156,5156,-32768,ぎっつえ,形状詞,助動詞,,,,方言,ギッツエ,窮屈な,*,*,*,*,*
ぎっつまこい,5156,5156,-32768,ぎっつまこい,形状詞,助動詞,,,,方言,ギッツマコイ,窮屈な,*,*,*,*,*
くたま,5156,5156,-32768,くたま,形状詞,助動詞,,,,方言,クタマ,邪魔な,*,*,*,*,*
こがな,5156,5156,-32768,こがな,形状詞,,,,,方言,コガナ,こんな,*,*,*,*,*
じょうさね,5156,5156,-32768,じょうさね,形状詞,助動詞,,,,方言,ジョウサネ,簡単だ,*,*,*,*,*
すこだま,5156,5156,-32768,すこだま,形状詞,助動詞,,,,方言,スコダマ,大量な,*,*,*,*,*
ずべら,5156,5156,-32768,ずべら,形状詞,助動詞,,,,方言,ズベラ,横着な,*,*,*,*,*
ずべら,5156,5156,-32768,ずべら,形状詞,助動詞,,,,方言,ズベラ,無頓着な,*,*,*,*,*
そげな,5156,5156,-32768,そげな,形状詞,,,,,方言,ソゲナ,そんな,*,*,*,*,*
どげな,5156,5156,-32768,どげな,形状詞,,,,,方言,ドゲナ,どんな,*,*,*,*,*
のぺーっと,5156,5156,-32768,のぺーっと,形状詞,助詞,,,,方言,ノペーット,平らに,*,*,*,*,*
のべずなぐ,5156,5156,-32768,のべずなぐ,形状詞,助詞,,,,方言,ノベズ ナグ,延々と,*,*,*,*,*
ほだいに,5156,5156,-32768,ほだいに,形状詞,,,,不変,方言,ホダイニ,そんなにたくさん,*,*,*,*,*
ほだな,5156,5156,-32768,ほだな,形状詞,,,,,方言,ホダナゴド,そんな,*,*,*,*,*
ほだな,5156,5156,-32768,ほだな,形状詞,,,,,方言,ホダナ,そんな,*,*,*,*,*
ほっだな,5156,5156,-32768,ほっだな,形状詞,,,,,方言,ホッダナ,そんな,*,*,*,*,*
わいごど,5156,5156,-32768,わいごど,形状詞,助動詞,,,,方言,ワイゴド,恐縮な,*,*,*,*,*
わいごどなー,5156,5156,-32768,わいごどなー,形状詞,助動詞,,,,方言,ワイゴドナー,恐縮な,*,*,*,*,*
わいごどなっし,5156,5156,-32768,わいごどなっし,形状詞,助動詞,,,,方言,ワイゴドナッシ,恐縮な,*,*,*,*,*
わいな,5156,5156,-32768,わいな,形状詞,助動詞,,,,方言,ワイナ,恐縮な,*,*,*,*,*
んだってよ,5156,5156,-32768,んだってよ,形状詞,,,,不変,方言,ンダッテヨ,そんなこと言われても,*,*,*,*,*
んだなごと,5156,5156,-32768,んだなごと,形状詞,,,,不変,方言,ンダナゴト,そんなこと,*,*,*,*,*
んだなごど,5156,5156,-32768,んだなごど,形状詞,,,,不変,方言,ンダナゴド,そんなこと,*,*,*,*,*
あったげ,5160,5160,-32768,あったげ,形容詞,,,,,方言,アッ タゲ,暖かい,0,*,*,*,*
あっつく,5160,5160,-32768,あっつく,形容詞,,,,,方言,アッ ツク,熱く,1,*,*,*,*
あらい,5160,5160,-32768,あらい,形容詞,,,,,方言,アライ,強い,2,*,*,*,*
ありがだぐ,5160,5160,-32768,ありがだぐ,形容詞,,,,,方言,アリガダグナル,眠く,3,*,*,*,*
あんつことね,5160,5160,-32768,あんつことね,形容詞,,,,,方言,アンツコトネ,心配ない,4,*,*,*,*
いがっ,5160,5160,-32768,いがっ,形容詞,,,連用形-促音便,非自律可能,方言,イガッ,良かっ,5,*,*,*,*
いぐ,5160,5160,-32768,いぐ,形容詞,,,,,方言,イグ,良く,6,*,*,*,*
いだい,5160,5160,-32768,いだい,形容詞,,,介護,,方言,イダイ,痛い,7,*,*,*,*
いだく,5160,5160,-32768,いだく,形容詞,,,介護,,方言,イダク,痛く,8,*,*,*,*
いだぐ,5160,5160,-32768,いだぐ,形容詞,,,介護,,方言,イダグ,痛く,9,*,*,*,*
いでく,5160,5160,-32768,いでく,形容詞,,,介護,,方言,イデク,痛く,10,*,*,*,*
いでぐ,5160,5160,-32768,いでぐ,形容詞,,,介護,,方言,イデグ,痛く,11,*,*,*,*
いだまし,5160,5160,-32768,いだまし,形容詞,,,,,方言,イダマシ,もったいない,12,*,*,*,*
いだましい,5160,5160,-32768,いだましい,形容詞,,,,,方言,イダマシイ,もったいない,13,*,*,*,*
いでえ,5160,5160,-32768,いでえ,形容詞,,,介護,,方言,イデエ,痛え,14,*,*,*,*
いでぇ,5160,5160,-32768,いでぇ,形容詞,,,介護,,方言,イデェ,痛え,15,*,*,*,*
うめ,5160,5160,-32768,うめ,形容詞,,,,,方言,ウメ,うまい,16,*,*,*,*
うんめ,5160,5160,-32768,うんめ,形容詞,,,,,方言,ウンメ,美味しい,17,*,*,*,*
おがる,5160,5160,-32768,おがる,形容詞,,,,,方言,オガル,おおきくなる,18,*,*,*,*
おっかね,5160,5160,-32768,おっかね,形容詞,,,,,方言,オッカネ,恐ろしい,19,*,*,*,*
おもしゃい,5160,5160,-32768,おもしゃい,形容詞,,,,,方言,オモシャイ,おもしろい,20,*,*,*,*
いがらっぽい,5160,5160,-32768,いがらっぽい,形容詞,,,不変,が,方言,イガラッポイ,引っかかるように痛い,21,*,*,*,*
いがらっぽく,5160,5160,-32768,いがらっぽく,形容詞,,,不変,が,方言,イガラッポク,引っかかるように痛い,22,*,*,*,*
いがらっぽぐ,5160,5160,-32768,いがらっぽぐ,形容詞,,,不変,が,方言,イガラッポグ,引っかかるように痛い,23,*,*,*,*
おもだい,5160,5160,-32768,おもだい,形容詞,,,,,方言,オモダイ,重たい,24,*,*,*,*
おもっせ,5160,5160,-32768,おもっせ,形容詞,,,,,方言,オモッセ,面白い,25,*,*,*,*
かがらしい,5160,5160,-32768,かがらしい,形容詞,,,,,方言,カガラシイ,さわがしい,26,*,*,*,*
かなしい,5160,5160,-32768,かなしい,形容詞,,,,,方言,カナシイ,相当つらい,27,*,*,*,*
かり,5160,5160,-32768,かり,形容詞,,,,,方言,カリ,痒い,28,*,*,*,*
かるこい,5160,5160,-32768,かるこい,形容詞,,,,,方言,カルコイ,軽い,29,*,*,*,*
かんじる,5160,5160,-32768,かんじる,形容詞,,,,,方言,カンジル,寒い,30,*,*,*,*
かんじわり,5160,5160,-32768,かんじわり,形容詞,,,,,方言,カンジワリ,具合悪い,31,*,*,*,*
きかない,5160,5160,-32768,きかない,形容詞,,,,,方言,キカナイ,気が強い,32,*,*,*,*
きしゃい,5160,5160,-32768,きしゃい,形容詞,,,,,方言,キシャイ,嫌い,33,*,*,*,*
ぎっつい,5160,5160,-32768,ぎっつい,形容詞,,,,,方言,ギッツイ,きつい,34,*,*,*,*
きみわり,5160,5160,-32768,きみわり,形容詞,,,,,方言,キミワリ,気持ち悪い,35,*,*,*,*
きんか,5160,5160,-32768,きんか,形容詞,,,,,方言,キンカ,耳が遠い,36,*,*,*,*
きんに,5160,5160,-32768,きんに,形容詞,,,,,方言,キンニ,切れない,37,*,*,*,*
きんにぇ,5160,5160,-32768,きんにぇ,形容詞,,,,,方言,キンニェ,切れない,38,*,*,*,*
きんにごど,5160,5160,-32768,きんにごど,形容詞,,,,,方言,キンニ ゴド,切れない,39,*,*,*,*
くっつぐたい,5160,5160,-32768,くっつぐたい,形容詞,,,,,方言,クッツグタイ,くすぐったい,40,*,*,*,*
けちょけちょ,5160,5160,-32768,けちょけちょ,形容詞,,,,,方言,ケチョケチョ,とげとげしい,41,*,*,*,*
けっ,5160,5160,-32768,けっ,形容詞,,,,,方言,ケッ,欲しい,42,*,*,*,*
けぷたい,5160,5160,-32768,けぷたい,形容詞,,,,,方言,ケプタイ,煙い,43,*,*,*,*
けむてえ,5160,5160,-32768,けむてえ,形容詞,,,,,方言,ケムテエ,煙たい,44,*,*,*,*
こちょぐったい,5160,5160,-32768,こちょぐったい,形容詞,,,,,方言,コチョグッタイ,くすぐったい,45,*,*,*,*
これっぱり,5160,5160,-32768,これっぱり,形容詞,,,,,方言,コレッパリ,少ない,46,*,*,*,*
こわい,5160,5160,-32768,こわい,形容詞,,,,,方言,コワイ,疲れた,47,*,*,*,*
さすけね,5160,5160,-32768,さすけね,形容詞,,,,,方言,サスケネ,差し支えない,48,*,*,*,*
さっさど,5160,5160,-32768,さっさど,形容詞,,,,,方言,サッサド,早く,49,*,*,*,*
さめ,5160,5160,-32768,さめ,形容詞,,,,,方言,サメ,寒い,50,*,*,*,*
しぇずね,5160,5160,-32768,しぇずね,形容詞,,,,,方言,シェズネ,苦しい,51,*,*,*,*
じこぼっちゃ,5160,5160,-32768,じこぼっちゃ,形容詞,,,,複合語方言,方言,ジコ ボッチャ,腹がいっぱいで苦しい,52,*,*,*,*
ししょねごで,5160,5160,-32768,ししょねごで,形容詞,,,,,方言,シショネゴデ,仕方がないね,53,*,*,*,*
しょーね,5160,5160,-32768,しょーね,形容詞,,,,,方言,ショーネ,仕方がない,54,*,*,*,*
しゃーね,5160,5160,-32768,しゃーね,形容詞,,,,,方言,シャーネ,知らない,55,*,*,*,*
しゃねべ,5160,5160,-32768,しゃねべ,形容詞,,,,,方言,シャネベ,しょうがない,56,*,*,*,*
じょうさない,5160,5160,-32768,じょうさない,形容詞,,,,,方言,ジョウサナイ,難しくない,57,*,*,*,*
じょうさね,5160,5160,-32768,じょうさね,形容詞,,,,,方言,ジョウサネ,難しくない,58,*,*,*,*
しょうしい,5160,5160,-32768,しょうしい,形容詞,,,,,方言,ショウシイ,恥ずかしい,59,*,*,*,*
しょっぱい,5160,5160,-32768,しょっぱい,形容詞,,,,,方言,ショッパイ,塩からい,60,*,*,*,*
しょね,5160,5160,-32768,しょね,形容詞,,,,,方言,ショネ,仕方ない,61,*,*,*,*
しょねごで,5160,5160,-32768,しょねごで,形容詞,,,,,方言,ショネゴデ,仕方ない,62,*,*,*,*
しょねずな,5160,5160,-32768,しょねずな,形容詞,,,,,方言,ショネズナ,仕方ない,63,*,*,*,*
しょねな,5160,5160,-32768,しょねな,形容詞,,,,,方言,ショネナ,仕方ない,64,*,*,*,*
すぎない,5160,5160,-32768,すぎない,形容詞,,,,,方言,スギナイ,物足りない,65,*,*,*,*
すげない,5160,5160,-32768,すげない,形容詞,,,,,方言,スゲナイ,物足りない,66,*,*,*,*
すげない,5160,5160,-32768,すげない,形容詞,,,,,方言,スゲナイ,物足りない,67,*,*,*,*
すっかい,5160,5160,-32768,すっかい,形容詞,,,,,方言,スッカイ,すっぱい,68,*,*,*,*
せっせど,5160,5160,-32768,せっせど,形容詞,,,,,方言,セッセド,早く,69,*,*,*,*
せづない,5160,5160,-32768,せづない,形容詞,,,,,方言,セヅナイ,苦しい,70,*,*,*,*
せづね,5160,5160,-32768,せづね,形容詞,,,,,方言,セヅネ,苦しい,71,*,*,*,*
せまこい,5160,5160,-32768,せまこい,形容詞,,,,,方言,セマコイ,狭い,72,*,*,*,*
せわしない,5160,5160,-32768,せわしない,形容詞,,,,複合語方言,方言,セワシナイ,落ち着きがない,73,*,*,*,*
せわしねえ,5160,5160,-32768,せわしねえ,形容詞,,,,複合語方言,方言,セワシネエ,落ち着きがない,74,*,*,*,*
だでな,5160,5160,-32768,だでな,形容詞,,,,,方言,ダデナ,しつこいな,75,*,*,*,*
たわいない,5160,5160,-32768,たわいない,形容詞,,,,,方言,タワイナイ,くだらない,76,*,*,*,*
たわえない,5160,5160,-32768,たわえない,形容詞,,,,,方言,タワエナイ,くだらない,77,*,*,*,*
たんに,5160,5160,-32768,たんに,形容詞,,,,,方言,タンニ,足りない,78,*,*,*,*
ちかま,5160,5160,-32768,ちかま,形容詞,,,,,方言,チカマ,近く,79,*,*,*,*
ちじごまる,5160,5160,-32768,ちじごまる,形容詞,,,,,方言,チジゴマル,小さくなる,80,*,*,*,*
ちみたい,5160,5160,-32768,ちみたい,形容詞,,,,,方言,チミタイ,つめたい,81,*,*,*,*
ちゃこい,5160,5160,-32768,ちゃこい,形容詞,,,,,方言,チャコイ,ちいさい,82,*,*,*,*
ちゃっこい,5160,5160,-32768,ちゃっこい,形容詞,,,,,方言,チャッコイ,小さい,83,*,*,*,*
とがい,5160,5160,-32768,とがい,形容詞,,,,,方言,トガイ,遠い,84,*,*,*,*
とげえ,5160,5160,-32768,とげえ,形容詞,,,,,方言,ト ゲエ,遠い,85,*,*,*,*
とどさい,5160,5160,-32768,とどさい,形容詞,,,,,方言,トドサイ,尊い,86,*,*,*,*
どんけね,5160,5160,-32768,どんけね,形容詞,,,,,方言,ドンケネ,まずい,87,*,*,*,*
とんに,5160,5160,-32768,とんに,形容詞,,,,,方言,トンニ,取れない,88,*,*,*,*
