標準語,置賜弁,正解分割,分類
あの人、何をしているの,あいづ、何しったなや,"あいづ,、.何,しっ,た,な,や",A
あれ、取ってください,あいづ、取ってけろ,"あいづ,、,取っ,て,けろ",A
かかとが痛い,あぐどいだい,"あぐど,いだい",A
かかとが痛くないですか,あぐどいだぐねぇが,"あぐど,いだ,ぐ,ねぇ,が",B
頭がとても痛い,あだまかなりやめる,"あだま,かなり,やめる",A
頭が痛くて持て余している,あだまやめでしゃーましする,"あだま,やめ,で,しゃーまし,する",A
頭が痛い,あだまやめる,"あだま,やめる",A
暑くないですか,あづぐねえが,"あづく,ねえ,が",B
暖かいお茶をください,あったけぇお茶くだい,"あったけぇ,お茶,くだい",A
あとで看護師に診てもらいましょう,あどで看護師に診てもらうべ,"あど,で,看護,師,に,診,て,もらう,べ",B
本当？,あんじゃん,あんじゃん,C
ありがとう,おしょうしな,おしょうしな,C
痛いから優しくしてくださいね,いだいがらやさしぐしてけろな,"いだい,がら,やさしぐ,し,て,けろ,な",A
痛いから湿布を出してください,いだいがら湿布出してけんにぇが,"いだい,がら,湿布,出し,て,けん,にぇ,が",A
痛いから、薬をください,いだいがら薬くだい,"いだい,がら,薬,くだい",A
痛いから薬をもらいたい,いだいがら薬もらいだい,"いだい,がら,薬,もらい,だい",A
痛いから薬をもらえますか,いだいがら薬もらわれっか,"いだい,がら,薬,もらわ,れっ,か",A
痛くて痛くて持て余しているんだ一,いだくていだくて、しゃーまししった一,"いだく,て,いだく,て,、,しゃーまし,しったー",A
痛くて仕方がないね,いだくてしょーねなー,"いだく,て,しょーね,なー",A
痛くてそんなことできない,いだくてそげなごどさんにぇ,"いだく,て,そげな,ごど,さんにぇ",A
痛くて持て余している,いだくてひしゃまししった,"いだく,て,ひしゃまし,しった",A
痛くて困った,いだくてまいった,"いだく,て,まいっ,た",A
痛くてどうしようもないんですよー,いだくてわがんねなよー,"いだく,で,わがんね,な,よー",A
痛くて我慢できない,いだくて我慢さんにぇ,"いだく,て,我慢,さんにぇ",A
痛くて座れない,いだくて座らんにぇ,"いだく,て,座ら,ん,にぇ",A
うちに帰りたい,うぢさ帰りでぇ,"うぢ,さ,帰り,でぇ",A
美味しかったよ,うまがったず,"うまがっ,た,ず",A
とても痛い,うんといでぇ,"うんと,いでぇ",A
エプロンをしますか？,エプロンすっか？,"エプロン,すっ,か,？",B
エプロンを使いますか,エプロン使うが？,"エプロン,使う,が,？",B
