置賜弁テスト,1,1,-32768,見出し結果表示,品詞1,品詞2,品詞3,品詞4,品詞9(活用形),品詞10(活用形),ヨミ,正規化表記,*,*,*,*,*
あがめしょっぱいぴぃ,50,50,-32768,あがめしょっぱいぴぃ,感動詞,,,,フィラー,方言,アガメショッパイピィ,あかんべえ,*,*,*,*,*
あがやえ,50,50,-32768,あがやえ,感動詞,,,,複合語方言,方言,アガ ヤエ,食べてください,*,*,*,*,*
あっあーい,50,50,-32768,あっあーい,感動詞,,,,一般,方言,アッアーイ,ごめんください,*,*,*,*,*
あっあえ,50,50,-32768,あっあえ,感動詞,,,,一般,方言,アッ アエ,ごめんください,*,*,*,*,*
あまえ,50,50,-32768,あまえ,感動詞,,,,一般,方言,アマエ,はい,*,*,*,*,*
あんじゃ,50,50,-32768,あんじゃ,感動詞,,,,フィラー,方言,アンジャ,あれま,*,*,*,*,*
あんじゃん,50,50,-32768,あんじゃん,感動詞,,,,フィラー,方言,アンジャ,本当？,*,*,*,*,*
あんじゃも,50,50,-32768,あんじゃも,感動詞,,,,フィラー,方言,アンジャモ,本当？,*,*,*,*,*
あんまいが,50,50,-32768,あんまいが,感動詞,,,,複合語方言,方言,アンマ イガ,そうではないでしょうか？,*,*,*,*,*
ええごで,50,50,-32768,ええごで,感動詞,,,,複合語方言,方言,エエゴデ,良いのではないか,*,*,*,*,*
ええどごでねえ,50,50,-32768,ええどごでねえ,感動詞,,,,複合語方言,方言,エエ ドゴデネエ,非常に良いことです,*,*,*,*,*
えまに,50,50,-32768,えまに,感動詞,,,,一般,方言,エマニ,またね,*,*,*,*,*
おしょうしな,50,50,-32768,おしょうしな,感動詞,,,,一般,方言,オショウシナ,ありがとう,*,*,*,*,*
おしょうしなっし,50,50,-32768,おしょうしなっし,感動詞,,,,一般,方言,オショウ シナッ シ,ありがとうございます,*,*,*,*,*
おしょーしな,50,50,-32768,おしょーしな,感動詞,,,,一般,方言,オショーシナ,ありがとうございます,*,*,*,*,*
おしょーしなっしー,50,50,-32768,おしょーしなっしー,感動詞,,,,一般,方言,オショー シナッシー,本当にありがとうございます,*,*,*,*,*
おはようさま,50,50,-32768,おはようさま,感動詞,,,,一般,方言,オハヨウサマ,おはようございます,*,*,*,*,*
おはよさま,50,50,-32768,おはよさま,感動詞,,,,一般,方言,オハヨサマ,おはようございます,*,*,*,*,*
おばんかだ,50,50,-32768,おばんかだ,感動詞,,,,一般,方言,オバンカダ,こんばんは,*,*,*,*,*
おばんです,50,50,-32768,おばんです,感動詞,,,,一般,方言,オバンデス,こんばんは,*,*,*,*,*
かまね,50,50,-32768,かまね,感動詞,,,,一般,方言,カマネ,いいよ,*,*,*,*,*
かんしぇな,50,50,-32768,かんしぇな,感動詞,,,,一般,方言,カンシェナ,ごめんなさい,*,*,*,*,*
かんしょ,50,50,-32768,かんしょ,感動詞,,,,一般,方言,カンショ,ごめんなさい,*,*,*,*,*
がんばっぺ,50,50,-32768,がんばっぺ,感動詞,,,,一般,方言,ガンバッペ,がんばろう,*,*,*,*,*
くされ,50,50,-32768,くされ,感動詞,,,,一般,方言,クサレ,ちきしょう,*,*,*,*,*
こうすんぞ,50,50,-32768,こうすんぞ,感動詞,,,,複合語方言,方言,コウ スンゾ,このようにやるよ,*,*,*,*,*
こうすんべ,50,50,-32768,こうすんべ,感動詞,,,,複合語方言,方言,コウスンベ,このようにしましょうよ,*,*,*,*,*
こねごで,50,50,-32768,こねごで,感動詞,,,,複合語方言,方言,コネゴデ,当然来ないです,*,*,*,*,*
こねじさ,50,50,-32768,こねじさ,感動詞,,,,複合語方言,方言,コネジサ,こないみたいです,*,*,*,*,*
ごんざえ,50,50,-32768,ごんざえ,感動詞,,,,一般,方言,ゴンザエ,いらっしゃい,*,*,*,*,*
さいさいごめんどなりもして,50,50,-32768,さいさいごめんどなりもして,感動詞,,,,一般,方言,サイサイ ゴメンドナリモ シテ,いつもおせわになって,*,*,*,*,*
さいなら,50,50,-32768,さいなら,感動詞,,,,一般,方言,サイナラ,さようなら,*,*,*,*,*
すっぺだのこっぺだの,50,50,-32768,すっぺだのこっぺだの,感動詞,,,,,方言,スッペダノ コッペダノ,ああでもない、こうでもない,*,*,*,*,*
すぺたのかぺたの,50,50,-32768,すぺたのかぺたの,感動詞,,,,,方言,スペタノ カペタノ,ああでもない、こうでもない,*,*,*,*,*
だでごど,50,50,-32768,だでごど,感動詞,,,,一般,方言,ダデゴド,いやだね,*,*,*,*,*
だめだずな,50,50,-32768,だめだずな,感動詞,,,,複合語方言,方言,ダメダズナ,だめですね,*,*,*,*,*
てそずらしい,50,50,-32768,てそずらしい,感動詞,,,,複合語方言,方言,テソズラシイ,うるさく手を出す,*,*,*,*,*
どうすんべ,50,50,-32768,どうすんべ,感動詞,,,,複合語方言,方言,ドウスンベ,どうしましょう？,*,*,*,*,*
どうもっし,50,50,-32768,どうもっし,感動詞,,,,複合語方言,方言,ドウ モッシ,どうもです,*,*,*,*,*
なえだべ,50,50,-32768,なえだべ,感動詞,,,,複合語方言,方言,ナエダベ,どうしたの,*,*,*,*,*
なしてや,50,50,-32768,なしてや,感動詞,,,,複合語方言,方言,ナシテヤ,どうして,*,*,*,*,*
なじょしった,50,50,-32768,なじょしった,感動詞,,,,複合語方言,方言,ナジョ シッタ,どうしていた,*,*,*,*,*
なじょすっぺ,50,50,-32768,なじょすっぺ,感動詞,,,,複合語方言,方言,ナジョスッペ,どうする？,*,*,*,*,*
なじょすんべ,50,50,-32768,なじょすんべ,感動詞,,,,複合語方言,方言,ナジョスンベ,どうする？,*,*,*,*,*
なじょすんべ,50,50,-32768,なじょすんべ,感動詞,,,,複合語方言,方言,ナジョスンベ,どうするかな,*,*,*,*,*
なじょだ,50,50,-32768,なじょだ,感動詞,,,,複合語方言,方言,ナ ジョダ,どうですか？,*,*,*,*,*
なじょだっし,50,50,-32768,なじょだっし,感動詞,,,,複合語方言,方言,ナジョ ダッシ,どうですか？,*,*,*,*,*
なにかだってんなだ,50,50,-32768,なにかだってんなだ,感動詞,,,,複合語方言,方言,ナニカダッテンナダ,何を言っているのだ,*,*,*,*,*
なにしてけつかる,50,50,-32768,なにしてけつかる,感動詞,,,,複合語方言,方言,ナニ シテケツカル,何をしているんだ,*,*,*,*,*
なんだず,50,50,-32768,なんだず,感動詞,,,,複合語方言,方言,ナンダズ,なんですか,*,*,*,*,*
なんとしった,50,50,-32768,なんとしった,感動詞,,,,複合語方言,方言,ナント シッタ,どうしてますか,*,*,*,*,*
なんぼなんだって,50,50,-32768,なんぼなんだって,感動詞,,,,複合語方言,方言,ナンボ ナンダッテ,いくらなんでも,*,*,*,*,*
にだくさい,50,50,-32768,にだくさい,感動詞,,,,複合語方言,方言,ニダクサイ,似ている感じがする,*,*,*,*,*
